,date,hour,PUN,AUST,BSP,CNOR,COAC,CORS,CSUD,FRAN,GREC,MALT,MONT,NORD,ROSN,SARD,SICI,SLOV,SUD,SVIZ,XAUS,XFRA,CALA,XGRE,gb_price_eur,datetime
0,2022-01-01,1,170.28,170.28,170.28,170.28,250.0,170.28,170.28,170.28,170.28,170.28,170.28,170.28,,170.28,170.28,170.28,170.28,170.28,170.28,170.28,170.28,170.28,89.24,2022-01-01 00:00:00
1,2022-01-01,2,155.72,155.72,155.72,155.72,250.0,155.72,155.72,155.72,155.72,155.72,155.72,155.72,,155.72,155.72,155.72,155.72,155.72,155.72,155.72,155.72,155.72,89.24,2022-01-01 01:00:00
2,2022-01-01,3,147.09,147.09,147.09,147.09,250.0,147.09,147.09,147.09,147.09,147.09,147.09,147.09,,147.09,147.09,147.09,147.09,147.09,147.09,147.09,147.09,147.09,108.52,2022-01-01 02:00:00
3,2022-01-01,4,91.0,91.0,91.0,91.0,250.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,57.12,2022-01-01 03:00:00
4,2022-01-01,5,104.0,104.0,104.0,104.0,250.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,83.29,2022-01-01 04:00:00
5,2022-01-01,6,140.6,140.6,140.6,140.6,250.0,140.6,140.6,140.6,140.6,140.6,140.6,140.6,,140.6,140.6,140.6,140.6,140.6,140.6,140.6,140.6,140.6,0.0,2022-01-01 05:00:00
6,2022-01-01,7,147.09,147.09,147.09,147.09,250.0,147.09,147.09,147.09,147.09,147.09,147.09,147.09,,147.09,147.09,147.09,147.09,147.09,147.09,147.09,147.09,147.09,64.49,2022-01-01 06:00:00
7,2022-01-01,8,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,-22.85,2022-01-01 07:00:00
8,2022-01-01,9,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,35.7,2022-01-01 08:00:00
9,2022-01-01,10,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,-10.23,2022-01-01 09:00:00
10,2022-01-01,11,135.8,135.8,135.8,135.8,135.8,135.8,135.8,135.8,135.8,135.8,135.8,135.8,,135.8,135.8,135.8,135.8,135.8,135.8,135.8,135.8,135.8,-3.81,2022-01-01 10:00:00
11,2022-01-01,12,150.7,150.7,150.7,150.7,150.7,150.7,150.7,150.7,150.7,150.7,150.7,150.7,,150.7,150.7,150.7,150.7,150.7,150.7,150.7,150.7,150.7,-5.71,2022-01-01 11:00:00
12,2022-01-01,13,155.72,155.72,155.72,155.72,155.72,155.72,155.72,155.72,155.72,155.72,155.72,155.72,,155.72,155.72,155.72,155.72,155.72,155.72,155.72,155.72,155.72,-25.58,2022-01-01 12:00:00
13,2022-01-01,14,147.09,147.09,147.09,147.09,147.09,147.09,147.09,147.09,147.09,147.09,147.09,147.09,,147.09,147.09,147.09,147.09,147.09,147.09,147.09,147.09,147.09,-0.95,2022-01-01 13:00:00
14,2022-01-01,15,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-21.42,2022-01-01 14:00:00
15,2022-01-01,16,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,23.8,2022-01-01 15:00:00
16,2022-01-01,17,169.78,169.78,169.78,169.78,169.78,169.78,169.78,169.78,169.78,169.78,169.78,169.78,,169.78,169.78,169.78,169.78,169.78,169.78,169.78,169.78,169.78,-11.9,2022-01-01 16:00:00
17,2022-01-01,18,203.1,203.1,203.1,203.1,203.1,203.1,203.1,203.1,203.1,203.1,203.1,203.1,,203.1,203.1,203.1,203.1,203.1,203.1,203.1,203.1,203.1,19.87,2022-01-01 17:00:00
18,2022-01-01,19,205.83,205.83,205.83,205.83,205.83,205.83,205.83,205.83,205.83,205.83,205.83,205.83,,205.83,205.83,205.83,205.83,205.83,205.83,205.83,205.83,205.83,-23.8,2022-01-01 18:00:00
19,2022-01-01,20,214.66,214.66,214.66,214.66,214.66,214.66,214.66,214.66,214.66,214.66,214.66,214.66,,214.66,214.66,214.66,214.66,214.66,214.66,214.66,214.66,214.66,49.98,2022-01-01 19:00:00
20,2022-01-01,21,214.66,214.66,214.66,214.66,214.66,214.66,214.66,214.66,214.66,214.66,214.66,214.66,,214.66,214.66,214.66,214.66,214.66,214.66,214.66,214.66,214.66,-9.52,2022-01-01 20:00:00
21,2022-01-01,22,203.0,203.0,203.0,203.0,203.0,203.0,203.0,203.0,203.0,203.0,203.0,203.0,,203.0,203.0,203.0,203.0,203.0,203.0,203.0,203.0,203.0,82.1,2022-01-01 21:00:00
22,2022-01-01,23,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,33.32,2022-01-01 22:00:00
23,2022-01-01,24,162.44,162.44,162.44,162.44,250.0,162.44,162.44,162.44,162.44,162.44,162.44,162.44,,162.44,162.44,162.44,162.44,162.44,162.44,162.44,162.44,162.44,108.04,2022-01-01 23:00:00
