SETTLEMENT_DATE,SETTLEMENT_PERIOD,N2EX_DA,EPEX_DA,EPEX_HH_DA,
01/01/2022 00:00:00,1,149.98,68.8,75,
01/01/2022 00:00:00,2,149.98,68.8,75,
01/01/2022 00:00:00,3,99.99,54.2,91.2,
01/01/2022 00:00:00,4,99.99,54.2,48,
01/01/2022 00:00:00,5,25.05,21,70,
01/01/2022 00:00:00,6,25.05,21,0,
01/01/2022 00:00:00,7,7.85,5.9,54.2,
01/01/2022 00:00:00,8,7.85,5.9,-19.2,
01/01/2022 00:00:00,9,-10,2.3,30,
01/01/2022 00:00:00,10,-10,2.3,-8.6,
01/01/2022 00:00:00,11,-25,-0.9,-3.2,
01/01/2022 00:00:00,12,-25,-0.9,-4.8,
01/01/2022 00:00:00,13,-24.98,-0.9,-21.5,
01/01/2022 00:00:00,14,-24.98,-0.9,-0.8,
01/01/2022 00:00:00,15,-50,20.6,-18,
01/01/2022 00:00:00,16,-50,20.6,20,
01/01/2022 00:00:00,17,-39.19,27,-10,
01/01/2022 00:00:00,18,-39.19,27,16.7,
01/01/2022 00:00:00,19,0.01,50.97,-20,
01/01/2022 00:00:00,20,0.01,50.97,42,
01/01/2022 00:00:00,21,20,69,-8,
01/01/2022 00:00:00,22,20,69,69,
01/01/2022 00:00:00,23,58.61,75,28,
01/01/2022 00:00:00,24,58.61,75,90.8,
01/01/2022 00:00:00,25,90.17,95,65,
01/01/2022 00:00:00,26,90.17,95,94.3,
01/01/2022 00:00:00,27,100,108,105.7,
01/01/2022 00:00:00,28,100,108,100,
01/01/2022 00:00:00,29,102.16,124.1,108.1,
01/01/2022 00:00:00,30,102.16,124.1,105.6,
01/01/2022 00:00:00,31,103.61,133.2,112.3,
01/01/2022 00:00:00,32,103.61,133.2,119.7,
01/01/2022 00:00:00,33,155.43,150,87,
01/01/2022 00:00:00,34,155.43,150,160,
01/01/2022 00:00:00,35,207.68,189,171.4,
01/01/2022 00:00:00,36,207.68,189,169,
01/01/2022 00:00:00,37,156.48,158.12,160,
01/01/2022 00:00:00,38,156.48,158.12,110,
01/01/2022 00:00:00,39,124.92,145,129.3,
01/01/2022 00:00:00,40,124.92,145,114.7,
01/01/2022 00:00:00,41,127.38,118,131.2,
01/01/2022 00:00:00,42,127.38,118,94,
01/01/2022 00:00:00,43,100,83.6,154,
01/01/2022 00:00:00,44,100,83.6,87.7,
01/01/2022 00:00:00,45,73.12,72.9,130,
01/01/2022 00:00:00,46,73.12,72.9,65,
01/01/2022 00:00:00,47,62.01,68.3,57,
01/01/2022 00:00:00,48,62.01,68.3,-16,
02/01/2022 00:00:00,1,46.59,51.5,-9.1,
02/01/2022 00:00:00,2,46.59,51.5,30,
02/01/2022 00:00:00,3,32.5,33.2,30,
02/01/2022 00:00:00,4,32.5,33.2,-1.6,
02/01/2022 00:00:00,5,10,12,10,
02/01/2022 00:00:00,6,10,12,5,
02/01/2022 00:00:00,7,6,-1.1,13.6,
02/01/2022 00:00:00,8,6,-1.1,0,
02/01/2022 00:00:00,9,5.01,-1.1,7,
02/01/2022 00:00:00,10,5.01,-1.1,0.2,
02/01/2022 00:00:00,11,5.2,-1,-0.4,
02/01/2022 00:00:00,12,5.2,-1,0,
02/01/2022 00:00:00,13,4.72,-4,-3.9,
02/01/2022 00:00:00,14,4.72,-4,21.9,
02/01/2022 00:00:00,15,9.92,-7.6,0.1,
02/01/2022 00:00:00,16,9.92,-7.6,12.1,
02/01/2022 00:00:00,17,37.19,19.8,-9,
02/01/2022 00:00:00,18,37.19,19.8,56.3,
02/01/2022 00:00:00,19,66.1,45,2,
02/01/2022 00:00:00,20,66.1,45,65.8,
02/01/2022 00:00:00,21,86,74,29,
02/01/2022 00:00:00,22,86,74,64,
02/01/2022 00:00:00,23,71.01,63,63.6,
02/01/2022 00:00:00,24,71.01,63,63.6,
02/01/2022 00:00:00,25,74.08,74,69,
02/01/2022 00:00:00,26,74.08,74,66.4,
02/01/2022 00:00:00,27,67.23,102,76,
02/01/2022 00:00:00,28,67.23,102,56,
02/01/2022 00:00:00,29,82.11,94,60,
02/01/2022 00:00:00,30,82.11,94,65.1,
02/01/2022 00:00:00,31,56.08,65,51,
02/01/2022 00:00:00,32,56.08,65,51,
02/01/2022 00:00:00,33,124.91,124.7,58.5,
02/01/2022 00:00:00,34,124.91,124.7,110,
02/01/2022 00:00:00,35,148.9,153.9,112.4,
02/01/2022 00:00:00,36,148.9,153.9,107.8,
02/01/2022 00:00:00,37,120,130.2,110,
02/01/2022 00:00:00,38,120,130.2,36,
02/01/2022 00:00:00,39,86.83,115,80,
02/01/2022 00:00:00,40,86.83,115,15,
02/01/2022 00:00:00,41,64.66,75,44,
02/01/2022 00:00:00,42,64.66,75,62.1,
02/01/2022 00:00:00,43,83.03,94,85.6,
02/01/2022 00:00:00,44,83.03,94,19,
02/01/2022 00:00:00,45,0,43.3,8,
02/01/2022 00:00:00,46,0,43.3,-11.2,
02/01/2022 00:00:00,47,-12.67,5.3,11,
02/01/2022 00:00:00,48,-12.67,5.3,-32,
03/01/2022 00:00:00,1,-9.99,-5,-20,
03/01/2022 00:00:00,2,-9.99,-5,-8.3,
03/01/2022 00:00:00,3,-13.62,-10,-20,
03/01/2022 00:00:00,4,-13.62,-10,-32,
03/01/2022 00:00:00,5,-20.04,-16,-30,
03/01/2022 00:00:00,6,-20.04,-16,-48,
03/01/2022 00:00:00,7,-24.99,-24.9,-23,
03/01/2022 00:00:00,8,-24.99,-24.9,-32,
03/01/2022 00:00:00,9,-14.73,-20,-28.8,
03/01/2022 00:00:00,10,-14.73,-20,-32,
03/01/2022 00:00:00,11,19.9,10,-5,
03/01/2022 00:00:00,12,19.9,10,-4.2,
03/01/2022 00:00:00,13,67.99,55,7.6,
03/01/2022 00:00:00,14,67.99,55,50,
03/01/2022 00:00:00,15,28.2,50,0,
03/01/2022 00:00:00,16,28.2,50,40,
03/01/2022 00:00:00,17,89.8,80.5,44.7,
03/01/2022 00:00:00,18,89.8,80.5,111.9,
03/01/2022 00:00:00,19,65.6,100.9,70,
03/01/2022 00:00:00,20,65.6,100.9,125.8,
03/01/2022 00:00:00,21,73,97,75,
03/01/2022 00:00:00,22,73,97,120,
03/01/2022 00:00:00,23,76.47,105.3,80,
03/01/2022 00:00:00,24,76.47,105.3,112.7,
03/01/2022 00:00:00,25,93.29,109.6,96.3,
03/01/2022 00:00:00,26,93.29,109.6,114.4,
03/01/2022 00:00:00,27,96.44,127,110,
03/01/2022 00:00:00,28,96.44,127,110,
03/01/2022 00:00:00,29,93.44,142.4,108.8,
03/01/2022 00:00:00,30,93.44,142.4,106,
03/01/2022 00:00:00,31,108.55,120,100,
03/01/2022 00:00:00,32,108.55,120,121.55,
03/01/2022 00:00:00,33,128.24,142.6,120.4,
03/01/2022 00:00:00,34,128.24,142.6,160.4,
03/01/2022 00:00:00,35,159,182,150.4,
03/01/2022 00:00:00,36,159,182,160,
03/01/2022 00:00:00,37,141.68,156,170,
